X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,SE_ANNO_CAD_DATA,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SHAPE
-77.0151850956465,38.9111289486642,13005668,3rd St NW and Q St NW,2013/01/13 05:00:00+00,1808-1809,2013/01/13 05:00:00+00,2013,1,5D,Ward 5,Sexual Orientation,,Simple Assault,901240,398683.19001273,138139.95001363,38.91112116,-77.01518281,,{56AA3499-E6C4-45BE-8CB9-6284127274FF},,,MPD,2024/02/16 21:02:52+00,2251,
-77.0218075405059,38.9679410500389,13016960,600 block of Tewkesbury Pl NW,2013/02/05 05:00:00+00,2200,2013/02/07 05:00:00+00,2013,2,4D,Ward 4,Religion,Jewish,Damage/Defacing/Destruction of Property,803021,398110.33,144446.71,38.96793325,-77.02180525,,{8D1EF375-98EA-4D52-B5EF-66338BCC30EA},,,MPD,2024/02/16 21:02:52+00,2252,
-77.0229835388427,38.9029507962568,13017988,800 block of Mt Vernon Pl NW,2013/02/09 05:00:00+00,1400-1405,2013/02/09 05:00:00+00,2013,2,3D,Ward 2,Sexual Orientation,,Simple Assault,813971,398006.6,137232.25,38.90294301,-77.02298125,,{A92A7DAF-D3B6-47B3-A7C5-30E29EDFE21D},,,MPD,2024/02/16 21:02:52+00,2253,
-77.0080923909328,38.8346776865708,13024055,3800 block of South Capitol St SE,2013/02/22 05:00:00+00,1440-1448,2013/02/22 05:00:00+00,2013,2,7D,Ward 8,Gender Identity/Expression,,ADW,811674,399297.59,129653.21,38.83466991,-77.00809011,,{2725FA67-4304-49BA-971F-FCEB4243E867},,,MPD,2024/02/16 21:02:52+00,2254,
-77.0332438056735,38.917004587679,13027781,1400 block of U St NW,2013/03/03 05:00:00+00,0159-0200,2013/03/03 05:00:00+00,2013,3,3D,Ward 2,Sexual Orientation,,Simple Assault,802845,397117.19,138792.61,38.9169968,-77.03324151,,{8516BAD1-9231-43B7-8ECA-A985280FECB7},,,MPD,2024/02/16 21:02:52+00,2255,
-77.0396554650008,38.9246640795471,13031810,1700 block of Columbia Rd NW,2013/03/11 04:00:00+00,2034,2013/03/11 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Threats,800952,396561.52,139643.1,38.92465629,-77.03965317,,{B84BB6AC-9F30-4468-9AD3-646B6BFBD1FB},,,MPD,2024/02/16 21:02:52+00,2256,
-76.9672354710177,38.8676581070057,13032136,2800 block of Texas Ave SE Apt B5,2013/03/12 04:00:00+00,1400,2013/03/12 04:00:00+00,2013,3,6D,Ward 7,Sexual Orientation,,Threats,801310,402843.60777659,133314.74866515,38.86765032,-76.9672332,,{8B2B03DA-79BC-480F-8499-03292D6C80E3},,,MPD,2024/02/16 21:02:52+00,2257,
-77.0158203240768,38.9165114363281,13033386,1900 block of 3rd St NW,2013/03/14 04:00:00+00,2249-2250,2013/03/14 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,805459,398628.2,138737.46,38.91650365,-77.01581803,,{96A31CAF-0B3D-48E9-8EAE-6B6AFB334ADC},,,MPD,2024/02/16 21:02:52+00,2258,
-76.9943615210471,38.900209966604,13036237,800 block of H St NE,2013/03/20 04:00:00+00,1737,2013/03/20 04:00:00+00,2013,3,1D,Ward 6,Gender Identity/Expression,,Simple Assault,812904,400489.3,136927.76,38.90020218,-76.99435924,,{0894C0A5-6ED4-43DF-BC99-D87912849DE0},,,MPD,2024/02/16 21:02:52+00,2259,
-77.0239575879362,38.9169979424866,13037458,9th St NW and U St NW,2013/03/23 04:00:00+00,0210-0215,2013/03/23 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,900954,397922.51999603,138791.61999823,38.91699015,-77.0239553,,{F7B495C5-2502-4290-9ABC-2C80D3273B6B},,,MPD,2024/02/16 21:02:52+00,2260,
-77.0396554650008,38.9246640795471,13044090,1700 block of Columbia Rd NW,2013/04/06 04:00:00+00,0124,2013/04/06 04:00:00+00,2013,4,3D,Ward 1,Race,Asian,Simple Assault,800952,396561.52,139643.1,38.92465629,-77.03965317,,{E4ED1308-AD8C-4972-AC97-5FC7362A2268},,,MPD,2024/02/16 21:02:52+00,2261,
-76.9411424281998,38.8841459476645,13046481,4400 block of Texas Ave SE,2013/04/10 04:00:00+00,1904,2013/04/10 04:00:00+00,2013,4,6D,Ward 7,Ethnicity/National Origin,Latino/Hispanic,ADW,804930,405106.86461069,135146.15903485,38.88413816,-76.94114016,,{F9F0D0C9-F091-48C7-B0B2-0DD134A372BA},,,MPD,2024/02/16 21:02:52+00,2262,
-76.9937982915684,38.8615099878848,13046217,Howard Rd SE and Martin Luther King Jr Ave SE,2013/04/10 04:00:00+00,1044,2013/04/10 04:00:00+00,2013,4,7D,Ward 8,Sexual Orientation,,Simple Assault,902586,400538.44825445,132631.77064851,38.86150221,-76.99379601,,{590D37D3-277D-4DDA-A8A5-42B35C2ADA7F},,,MPD,2024/02/16 21:02:52+00,2263,
-77.0319524771756,38.9080463335711,13053916,1300 block of 14th St NW,2013/04/25 04:00:00+00,5300,2013/04/25 04:00:00+00,2013,4,3D,Ward 2,Sexual Orientation,,Robbery,802156,397228.83,137798.13,38.90803854,-77.03195018,,{19853AF2-5243-415D-8988-E736CAD08F88},,,MPD,2024/02/16 21:02:52+00,2264,
-77.0270417110095,38.9105556842231,13059479,11th St NW and Rhode Island Ave NW,2013/05/03 04:00:00+00,1800,2013/05/05 04:00:00+00,2013,5,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,906102,397654.84319578,138076.55081357,38.9105479,-77.02703942,,{F4307671-B12E-408B-BFB0-7D9DD61CA3A9},,,MPD,2024/02/16 21:02:52+00,2265,
-76.9799399046093,38.9015545898341,13064348,1600 block of Maryland Ave NE,2013/05/12 04:00:00+00,1800-1900,2013/05/14 04:00:00+00,2013,5,5D,Ward 5,Sexual Orientation,,Simple Assault,809645,401740.25,137077.2,38.9015468,-76.97993763,,{5323BCE0-7CC0-4876-AA3B-6D89550CD5C9},,,MPD,2024/02/16 21:02:52+00,2266,
-76.9804120159451,38.8964380103393,13067771,500 block of 17th St NE,2013/05/21 04:00:00+00,0115-0118,2013/05/21 04:00:00+00,2013,5,5D,Ward 7,Race,White,Simple Assault,802353,401699.42,136509.21,38.89643022,-76.98040974,,{E5515C98-3D65-41F0-9040-91CAACB7DE68},,,MPD,2024/02/16 21:02:52+00,2267,
-77.0390641962061,38.9143243383526,13073757,1800 block of New Hampshire Ave NW,2013/06/01 04:00:00+00,0215,2013/06/01 04:00:00+00,2013,6,3D,Ward 2,Sexual Orientation,,Robbery,813547,396612.3,138495.28,38.91431655,-77.0390619,,{54C46BD7-ECF7-44FD-82DC-EEB16EB4F6D9},,,MPD,2024/02/16 21:02:52+00,2268,
-76.9316644707118,38.9078734347425,13075701,1300 block of 49th St NE,2013/06/04 04:00:00+00,1800,2013/06/04 04:00:00+00,2013,6,6D,Ward 7,Sexual Orientation,,Simple Assault,801552,405927.23,137780.67,38.90786564,-76.93166221,,{053D3ADD-6A1B-4563-9269-7BAE00910417},,,MPD,2024/02/16 21:02:52+00,2269,
-76.926016714176,38.8943656154204,13077377,5200 block of Cloud Pl NE,2013/06/07 04:00:00+00,1957,2013/06/07 04:00:00+00,2013,6,6D,Ward 7,Race,White,Threats,807563,406418.29910791,136281.5760599,38.89435783,-76.92601445,,{925D56E4-B97F-4474-8600-6E25022D12D5},,,MPD,2024/02/16 21:02:52+00,2270,
-77.0058867726756,38.8337546316613,13080496,3800 block of 1st St SE,2013/06/13 04:00:00+00,1825-1830,2013/06/13 04:00:00+00,2013,6,7D,Ward 8,Sexual Orientation,,Simple Assault,811521,399489.08239748,129550.72997365,38.83374686,-77.00588449,,{75CE8BA0-2984-41AB-80AD-763252A3DBE6},,,MPD,2024/02/16 21:02:52+00,2271,
-77.0192055904926,38.9012292607558,13081164,500 block of Massachusetts Ave NW,2013/06/14 04:00:00+00,2123-2124,2013/06/14 04:00:00+00,2013,6,1D,Ward 2,Sexual Orientation,,Simple Assault,806791,398334.26,137041.07,38.90122147,-77.0192033,,{B9E3136A-CFC2-4C88-BD44-3964FC5E0BD0},,,MPD,2024/02/16 21:02:52+00,2272,
